Mode: Bandwidth,Shape,Preload Clear | cycles,Embedding dataloader | cycles,Embedding decoder | cycles,Embedding calculation | cycles,Dense SpMM dataloader | cycles,Dense SpMM decoder | cycles,Input | cycles,Weight | cycles,Dense SDMM PE calculation | cycles,Dense SpMM PE calculation | cycles,Total linear preprocessing cycles,Total linear preloading cycles,Total linear computation cycles,Total linear clear cycles,Total linear cycles,Total preloading cycles,Total Computation cycles,Total cycles
644245094,"(12, 3, 197, 64)",200,2920047,0,9711261,311611,33858,310802,809,2052,1193,13660,33858,2920047,9711261,200,9745119,312804,15712,312804
7086696038,"(12, 3, 197, 64)",200,265999,0,4884026,28439,17028,28364,75,1032,109,6840,17028,265999,4884026,200,4901054,28548,7872,28548
13529146982,"(12, 3, 197, 64)",200,139253,0,2498804,14873,8712,14834,39,528,57,3430,8712,139253,2498804,200,2507516,14930,3958,14930
19971597926,"(12, 3, 197, 64)",200,94633,0,1987685,10110,6930,10083,27,420,39,2740,6930,94633,1987685,200,1994615,10149,3160,10149
26414048870,"(12, 3, 197, 64)",200,71901,0,1476566,7713,5148,7692,21,312,30,1960,5148,71901,1476566,200,1481714,7743,2272,7743
32856499814,"(12, 3, 197, 64)",200,57757,0,1135820,6177,3960,6160,17,240,24,1530,3960,57757,1135820,200,1139780,6201,1770,6201
39298950758,"(12, 3, 197, 64)",200,48528,0,1022238,5285,3564,5270,15,216,20,1380,3564,48528,1022238,200,1025802,5305,1596,5305
45741401702,"(12, 3, 197, 64)",200,41645,0,908656,4548,3168,4535,13,192,17,1150,3168,41645,908656,200,911824,4565,1342,4565
52183852646,"(12, 3, 197, 64)",200,36352,0,795074,3904,2772,3893,11,168,15,990,2772,36352,795074,200,797846,3919,1158,3930
58626303590,"(12, 3, 197, 64)",200,32558,0,738283,3489,2574,3479,10,156,14,920,2574,32558,738283,200,740857,3503,1076,3650
65068754534,"(12, 3, 197, 64)",200,29153,0,624701,3136,2178,3127,9,132,12,820,2178,29153,624701,200,626879,3148,952,3148
71511205478,"(12, 3, 197, 64)",200,26754,0,624701,2950,2178,2941,9,132,11,770,2178,26754,624701,200,626879,2961,902,3080
77953656422,"(12, 3, 197, 64)",200,24454,0,567910,2659,1980,2651,8,120,10,700,1980,24454,567910,200,569890,2669,820,2800
84396107366,"(12, 3, 197, 64)",200,23098,0,511119,2535,1782,2527,8,108,10,640,1782,23098,511119,200,512901,2545,748,2545
90838558310,"(12, 3, 197, 64)",200,21176,0,511119,2275,1782,2268,7,108,9,610,1782,21176,511119,200,512901,2284,718,2500
97281009254,"(12, 3, 197, 64)",200,19755,0,454328,2213,1584,2206,7,96,8,560,1584,19755,454328,200,455912,2221,656,2240
103723460198,"(12, 3, 197, 64)",200,18552,0,454328,1953,1584,1947,6,96,8,540,1584,18552,454328,200,455912,1961,636,2220
110165911142,"(12, 3, 197, 64)",200,17255,0,454328,1891,1584,1885,6,96,7,500,1584,17255,454328,200,455912,1898,596,2180
116608362086,"(12, 3, 197, 64)",200,16646,0,397537,1829,1386,1823,6,84,7,470,1386,16646,397537,200,398923,1836,554,1940
123050813030,"(12, 3, 197, 64)",200,15961,0,397537,1798,1386,1792,6,84,7,460,1386,15961,397537,200,398923,1805,544,1930
129493263974,"(12, 3, 197, 64)",200,14693,0,397537,1569,1386,1564,5,84,6,430,1386,14693,397537,200,398923,1575,514,1900
135935714918,"(12, 3, 197, 64)",200,14146,0,340746,1538,1188,1533,5,72,6,420,1188,14146,340746,200,341934,1544,492,1680
142378165862,"(12, 3, 197, 64)",200,13684,0,340746,1507,1188,1502,5,72,6,390,1188,13684,340746,200,341934,1513,462,1650
148820616806,"(12, 3, 197, 64)",200,13199,0,340746,1445,1188,1440,5,72,6,370,1188,13199,340746,200,341934,1451,442,1630
155263067750,"(12, 3, 197, 64)",200,12494,0,340746,1414,1188,1409,5,72,5,360,1188,12494,340746,200,341934,1419,432,1620
161705518694,"(12, 3, 197, 64)",200,12232,0,340746,1383,1188,1378,5,72,5,350,1188,12232,340746,200,341934,1388,422,1610
168147969638,"(12, 3, 197, 64)",200,11778,0,283955,1383,990,1378,5,60,5,330,990,11778,283955,200,284945,1388,390,1388
174590420582,"(12, 3, 197, 64)",200,11153,0,283955,1185,990,1181,4,60,5,330,990,11153,283955,200,284945,1190,390,1380
181032871526,"(12, 3, 197, 64)",200,10868,0,283955,1154,990,1150,4,60,5,310,990,10868,283955,200,284945,1159,370,1360
187475322470,"(12, 3, 197, 64)",200,10606,0,283955,1123,990,1119,4,60,5,310,990,10606,283955,200,284945,1128,370,1360
193917773414,"(12, 3, 197, 64)",200,9963,0,283955,1123,990,1119,4,60,4,290,990,9963,283955,200,284945,1127,350,1340
