Mode: PE_width,Mode: PE_height,Shape,Preload Clear | cycles,Embedding dataloader | cycles,Embedding decoder | cycles,Embedding calculation | cycles,Dense SpMM dataloader | cycles,Dense SpMM decoder | cycles,Input | cycles,Weight | cycles,Dense SDMM PE calculation | cycles,Dense SpMM PE calculation | cycles,Total linear preprocessing cycles,Total linear preloading cycles,Total linear computation cycles,Total linear clear cycles,Total linear cycles,Total preloading cycles,Total Computation cycles,Total cycles
8,8,"(12, 3, 197, 64)",323,8170,3546,922016,355,2772,353,2,1200,2,1202,6318,8170,922016,323,928334,357,2402,8720
8,16,"(12, 3, 197, 64)",246,5172,1773,460416,355,2772,353,2,1200,2,1202,4545,5172,460416,246,464961,357,2402,6947
8,24,"(12, 3, 197, 64)",231,4578,1182,302592,355,2772,353,2,1200,2,1202,3954,4578,302592,231,306546,357,2402,6356
8,32,"(12, 3, 197, 64)",215,3970,591,227166,355,2772,353,2,1200,2,1202,3363,3970,227166,215,230529,357,2402,5765
8,40,"(12, 3, 197, 64)",200,3376,591,181604,355,2772,353,2,1200,2,1202,3363,3376,181604,200,184967,357,2402,5765
8,48,"(12, 3, 197, 64)",200,3376,591,151296,355,2772,353,2,1200,2,1202,3363,3376,151296,200,154659,357,2402,5765
8,56,"(12, 3, 197, 64)",200,3376,0,129416,355,2772,353,2,1200,2,1202,2772,3376,129416,200,132188,357,2402,5174
16,8,"(12, 3, 197, 64)",246,5172,1773,460416,355,792,353,2,312,2,298,2565,5172,460416,246,462981,357,610,3175
16,16,"(12, 3, 197, 64)",215,3970,591,227166,355,792,353,2,312,2,298,1383,3970,227166,215,228549,357,610,1993
16,24,"(12, 3, 197, 64)",200,3376,591,151296,355,792,353,2,312,2,298,1383,3376,151296,200,152679,357,610,1993
16,32,"(12, 3, 197, 64)",200,3376,0,170373,355,1188,353,2,468,2,298,1188,3376,170373,200,171561,357,766,1954
16,40,"(12, 3, 197, 64)",185,2782,0,135153,355,1188,353,2,468,2,298,1188,2782,135153,185,136341,357,766,1954
16,48,"(12, 3, 197, 64)",185,2782,0,113472,355,1188,353,2,468,2,298,1188,2782,113472,185,114660,357,766,1954
16,56,"(12, 3, 197, 64)",185,2782,0,97062,355,1188,353,2,468,2,298,1188,2782,97062,185,98250,357,766,1954
24,8,"(12, 3, 197, 64)",231,4578,1182,302592,355,396,353,2,144,2,198,1578,4578,302592,231,304170,357,342,1920
24,16,"(12, 3, 197, 64)",200,3376,591,151296,355,396,353,2,144,2,198,987,3376,151296,200,152283,357,342,1329
24,24,"(12, 3, 197, 64)",200,3376,0,151296,355,594,353,2,216,2,198,594,3376,151296,200,151890,357,414,1008
24,32,"(12, 3, 197, 64)",185,2782,0,113472,355,594,353,2,216,2,198,594,2782,113472,185,114066,357,414,1008
