Mode: Bandwidth,Shape,Preload Clear | cycles,Embedding dataloader | cycles,Embedding decoder | cycles,Embedding calculation | cycles,Dense SpMM dataloader | cycles,Dense SpMM decoder | cycles,Input | cycles,Weight | cycles,Dense SDMM PE calculation | cycles,Dense SpMM PE calculation | cycles,Total linear preprocessing cycles,Total linear preloading cycles,Total linear computation cycles,Total linear clear cycles,Total linear cycles,Total preloading cycles,Total Computation cycles,Total cycles
100,"(12, 3, 197, 64)",762,2704,0,170373,398,594,395,3,36,2,100,594,2704,170373,762,170967,400,136,730
200,"(12, 3, 197, 64)",573,3277,0,170373,326,594,324,2,36,2,100,594,3277,170373,573,170967,328,136,730
300,"(12, 3, 197, 64)",510,3832,0,170373,368,594,366,2,36,2,100,594,3832,170373,510,170967,370,136,730
400,"(12, 3, 197, 64)",401,3663,0,170373,389,594,387,2,36,2,100,594,3663,170373,401,170967,391,136,730
500,"(12, 3, 197, 64)",320,3520,0,170373,350,594,348,2,36,2,100,594,3520,170373,320,170967,352,136,730
600,"(12, 3, 197, 64)",267,3465,0,170373,368,594,366,2,36,2,100,594,3465,170373,267,170967,370,136,730
700,"(12, 3, 197, 64)",229,3326,0,170373,380,594,378,2,36,2,100,594,3326,170373,229,170967,382,136,730
800,"(12, 3, 197, 64)",200,3376,0,170373,355,594,353,2,36,2,100,594,3376,170373,200,170967,357,136,730
900,"(12, 3, 197, 64)",178,3308,0,170373,368,594,366,2,36,2,100,594,3308,170373,178,170967,370,136,730
1000,"(12, 3, 197, 64)",159,3334,0,170373,350,594,348,2,36,2,100,594,3334,170373,159,170967,352,136,730
1100,"(12, 3, 197, 64)",145,3410,0,170373,354,594,352,2,36,2,100,594,3410,170373,145,170967,356,136,730
1200,"(12, 3, 197, 64)",133,3321,0,170373,368,594,366,2,36,2,100,594,3321,170373,133,170967,370,136,730
1300,"(12, 3, 197, 64)",123,3363,0,170373,352,594,350,2,36,2,100,594,3363,170373,123,170967,354,136,730
1400,"(12, 3, 197, 64)",114,3322,0,170373,362,594,360,2,36,2,100,594,3322,170373,114,170967,364,136,730
1500,"(12, 3, 197, 64)",106,3346,0,170373,344,594,342,2,36,2,100,594,3346,170373,106,170967,346,136,730
1600,"(12, 3, 197, 64)",99,3367,0,170373,350,594,348,2,36,2,100,594,3367,170373,99,170967,352,136,730
1700,"(12, 3, 197, 64)",94,3351,0,170373,354,594,352,2,36,2,100,594,3351,170373,94,170967,356,136,730
1800,"(12, 3, 197, 64)",89,3369,0,170373,354,594,352,2,36,2,100,594,3369,170373,89,170967,356,136,730
1900,"(12, 3, 197, 64)",83,3345,0,170373,356,594,354,2,36,2,100,594,3345,170373,83,170967,358,136,730
2000,"(12, 3, 197, 64)",79,3334,0,170373,344,594,342,2,36,2,100,594,3334,170373,79,170967,346,136,730
2100,"(12, 3, 197, 64)",76,3386,0,170373,356,594,354,2,36,2,100,594,3386,170373,76,170967,358,136,730
2200,"(12, 3, 197, 64)",72,3329,0,170373,354,594,352,2,36,2,100,594,3329,170373,72,170967,356,136,730
2300,"(12, 3, 197, 64)",69,3356,0,170373,340,594,338,2,36,2,100,594,3356,170373,69,170967,342,136,730
2400,"(12, 3, 197, 64)",66,3352,0,170373,350,594,348,2,36,2,100,594,3352,170373,66,170967,352,136,730
2500,"(12, 3, 197, 64)",64,3362,0,170373,350,594,348,2,36,2,100,594,3362,170373,64,170967,352,136,730
2600,"(12, 3, 197, 64)",61,3372,0,170373,344,594,342,2,36,2,100,594,3372,170373,61,170967,346,136,730
2700,"(12, 3, 197, 64)",59,3369,0,170373,353,594,351,2,36,2,100,594,3369,170373,59,170967,355,136,730
2800,"(12, 3, 197, 64)",56,3319,0,170373,353,594,351,2,36,2,100,594,3319,170373,56,170967,355,136,730
2900,"(12, 3, 197, 64)",55,3374,0,170373,344,594,342,2,36,2,100,594,3374,170373,55,170967,346,136,730
3000,"(12, 3, 197, 64)",52,3318,0,170373,344,594,342,2,36,2,100,594,3318,170373,52,170967,346,136,730
3100,"(12, 3, 197, 64)",51,3359,0,170373,352,594,350,2,36,2,100,594,3359,170373,51,170967,354,136,730
3200,"(12, 3, 197, 64)",49,3325,0,170373,340,594,338,2,36,2,100,594,3325,170373,49,170967,342,136,730
3300,"(12, 3, 197, 64)",48,3362,0,170373,340,594,338,2,36,2,100,594,3362,170373,48,170967,342,136,730
3400,"(12, 3, 197, 64)",47,3404,0,170373,347,594,345,2,36,2,100,594,3404,170373,47,170967,349,136,730
3500,"(12, 3, 197, 64)",45,3335,0,170373,347,594,345,2,36,2,100,594,3335,170373,45,170967,349,136,730
3600,"(12, 3, 197, 64)",44,3365,0,170373,354,594,352,2,36,2,100,594,3365,170373,44,170967,356,136,730
3700,"(12, 3, 197, 64)",43,3386,0,170373,338,594,336,2,36,2,100,594,3386,170373,43,170967,340,136,730
3800,"(12, 3, 197, 64)",41,3299,0,170373,338,594,336,2,36,2,100,594,3299,170373,41,170967,340,136,730
3900,"(12, 3, 197, 64)",40,3328,0,170373,344,594,342,2,36,2,100,594,3328,170373,40,170967,346,136,730
4000,"(12, 3, 197, 64)",39,3316,0,170373,350,594,348,2,36,2,100,594,3316,170373,39,170967,352,136,730
4100,"(12, 3, 197, 64)",38,3336,0,170373,350,594,348,2,36,2,100,594,3336,170373,38,170967,352,136,730
4200,"(12, 3, 197, 64)",38,3354,0,170373,356,594,354,2,36,2,100,594,3354,170373,38,170967,358,136,730
4300,"(12, 3, 197, 64)",36,3320,0,170373,330,594,328,2,36,2,100,594,3320,170373,36,170967,332,136,730
4400,"(12, 3, 197, 64)",35,3287,0,170373,335,594,333,2,36,2,100,594,3287,170373,35,170967,337,136,730
4500,"(12, 3, 197, 64)",35,3357,0,170373,340,594,338,2,36,2,100,594,3357,170373,35,170967,342,136,730
4600,"(12, 3, 197, 64)",34,3309,0,170373,340,594,338,2,36,2,100,594,3309,170373,34,170967,342,136,730
4700,"(12, 3, 197, 64)",34,3381,0,170373,345,594,343,2,36,2,100,594,3381,170373,34,170967,347,136,730
4800,"(12, 3, 197, 64)",32,3252,0,170373,345,594,343,2,36,2,100,594,3252,170373,32,170967,347,136,730
4900,"(12, 3, 197, 64)",32,3347,0,170373,350,594,348,2,36,2,100,594,3347,170373,32,170967,352,136,730
5000,"(12, 3, 197, 64)",31,3271,0,170373,355,594,353,2,36,2,100,594,3271,170373,31,170967,357,136,730
5100,"(12, 3, 197, 64)",31,3393,0,170373,324,594,322,2,36,2,100,594,3393,170373,31,170967,326,136,730
5200,"(12, 3, 197, 64)",30,3336,0,170373,328,594,326,2,36,2,100,594,3336,170373,30,170967,330,136,730
5300,"(12, 3, 197, 64)",30,3418,0,170373,328,594,326,2,36,2,100,594,3418,170373,30,170967,330,136,730
5400,"(12, 3, 197, 64)",29,3356,0,170373,332,594,330,2,36,2,100,594,3356,170373,29,170967,334,136,730
5500,"(12, 3, 197, 64)",28,3270,0,170373,336,594,334,2,36,2,100,594,3270,170373,28,170967,338,136,730
5600,"(12, 3, 197, 64)",27,3268,0,170373,336,594,334,2,36,2,100,594,3268,170373,27,170967,338,136,730
5700,"(12, 3, 197, 64)",27,3295,0,170373,340,594,338,2,36,2,100,594,3295,170373,27,170967,342,136,730
5800,"(12, 3, 197, 64)",27,3311,0,170373,340,594,338,2,36,2,100,594,3311,170373,27,170967,342,136,730
5900,"(12, 3, 197, 64)",26,3306,0,170373,344,594,342,2,36,2,100,594,3306,170373,26,170967,346,136,730
6000,"(12, 3, 197, 64)",26,3318,0,170373,348,594,346,2,36,2,100,594,3318,170373,26,170967,350,136,730
6100,"(12, 3, 197, 64)",26,3348,0,170373,348,594,346,2,36,2,100,594,3348,170373,26,170967,350,136,730
6200,"(12, 3, 197, 64)",25,3336,0,170373,352,594,350,2,36,2,100,594,3336,170373,25,170967,354,136,730
6300,"(12, 3, 197, 64)",25,3352,0,170373,352,594,350,2,36,2,100,594,3352,170373,25,170967,354,136,730
6400,"(12, 3, 197, 64)",24,3303,0,170373,317,594,315,2,36,2,100,594,3303,170373,24,170967,319,136,730
